SG_UF;NM_UE;DS_CARGO;SQ_CANDIDATO;NR_CANDIDATO;NM_URNA_CANDIDATO;DS_DETALHE_SITUACAO_CAND;DS_GENERO;DS_COR_RACA;ST_REELEICAO
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001618541;77678;ERIC FOSSATI;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001652319;13007;HUMBERTO AMADUCCI;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001598648;40231;ELIETH LOPES;DEFERIDO;FEMININO;PRETA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001645378;11777;JORGINHO FIGUEIREDO;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001717694;90013;LUZIA PEREIRA;DEFERIDO;FEMININO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001618542;77999;IDEVALDO CLAUDINO ;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001636653;1500;LOURDES MONTEIRO;DEFERIDO;FEMININO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001650957;55515;VERA FELIX;DEFERIDO;FEMININO;INDÍGENA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001598642;40013;DORA EXEVERRIA;DEFERIDO;FEMININO;PRETA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001672861;70777;JOSÉ VICTOR;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001612044;36333;LINDEMBERG BARBOSA;DEFERIDO;MASCULINO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001614728;22800;CORONEL DAVID;DEFERIDO;MASCULINO;PARDA;S
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001672600;7077;SARGENTO R. SANTOS;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001718588;9090;TENENTE BALEJO DE ARRUDA;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001614257;2200;INSPETORA DEBORAH;DEFERIDO;FEMININO;BRANCA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001609244;4444;SINDOLEY MORAIS;DEFERIDO;MASCULINO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001651186;51666;EDDA SUELLEN;DEFERIDO;FEMININO;PRETA;N
MS;MATO GROSSO DO SUL;DEPUTADO FEDERAL;120001672599;7007;ROSANGELA DO PROCEVE;DEFERIDO;FEMININO;PARDA;N
MS;MATO GROSSO DO SUL;DEPUTADO ESTADUAL;120001598652;40700;SARAH SANTOS;DEFERIDO;FEMININO;BRANCA;N
