SG_UF;NM_UE;DS_CARGO;SQ_CANDIDATO;NR_CANDIDATO;NM_URNA_CANDIDATO;DS_DETALHE_SITUACAO_CAND;DS_GENERO;DS_COR_RACA;ST_REELEICAO
RR;RORAIMA;DEPUTADO ESTADUAL;230001600188;20100;IGOR CASTELO BRANCO;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001600073;90007;ELAINE MORELLATO;DEFERIDO;FEMININO;PARDA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001600117;3535;LEONILDE LIMA;DEFERIDO;FEMININO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001643503;77999;LUIZ VIDAL ;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001714011;1240;JAM ENGENHARIA;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;1º SUPLENTE;230001610812;500;LUCIA ALBERTO;DEFERIDO;FEMININO;INDÍGENA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001643488;7700;DILA SANTOS;DEFERIDO;FEMININO;PRETA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001643515;77123;EDGLEI ALEXANDRE;RENÚNCIA;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001602209;28333;FRANCK RODRIGUES;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;2º SUPLENTE;230001610959;333;REGINA;INDEFERIDO COM RECURSO;FEMININO;BRANCA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001602206;28000;OSIEL ANDRADE;DEFERIDO;MASCULINO;BRANCA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001600119;3599;CELINHA;DEFERIDO;FEMININO;PARDA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001610861;6513;PROF DR JONILDO VIANA;INDEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001693303;1400;SARGENTO BENEDITO;DEFERIDO;MASCULINO;PRETA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001600060;10111;GABRIEL PICANÇO;DEFERIDO;MASCULINO;BRANCA;S
RR;RORAIMA;DEPUTADO ESTADUAL;230001600070;90999;SULAMITA GARCIA;DEFERIDO;FEMININO;PARDA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001600150;5595;LINOBERG;DEFERIDO;MASCULINO;PRETA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001714074;12190;LUIZ CARLOS;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001610925;43555;CORINGA TOP DEZ;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001602835;15333;ALAN DO POVÃO;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001671295;14557;PEDRO DO SINDICATO;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001600144;35222;LORO;DEFERIDO;MASCULINO;BRANCA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001640627;2300;KATIANE ALVES;DEFERIDO;FEMININO;PRETA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001602826;15678;JOÃO RIZZO;DEFERIDO;MASCULINO;PARDA;N
RR;RORAIMA;DEPUTADO FEDERAL;230001602196;2828;HAYDEE PARREIRA;DEFERIDO;FEMININO;PARDA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001600125;35005;FRANCISCO SINTRAIMA;DEFERIDO;MASCULINO;BRANCA;N
RR;RORAIMA;DEPUTADO ESTADUAL;230001602819;15155;ROSE;DEFERIDO;FEMININO;PARDA;N
